726,569
686,193
819,1
1086,505
630,564
903,630
644,514
623,656
877,661
233,276
89,302
918,399
106,472
937,580
1161,65
369,51
425,99
329,54
1107,505
694,521
908,580
1133,634
976,459
926,37
1227,241
573,146
181,386
606,70
159,330
931,707
985,601
640,323
919,421
177,432
1105,335
930,276
1022,204
909,73
296,347
529,502
1018,20
693,220
1022,413
43,709
203,579
136,201
281,525
1176,324
218,317
73,580
675,368
1218,378
631,558
548,573
58,512
1035,622
381,22
478,585
1275,250
696,365
49,3
1073,100
678,182
655,192
283,669
1037,36
161,542
1175,452
946,100
53,173
730,110
642,527
779,637
501,401
1243,20
165,164
240,656
222,347
660,407
404,32
273,489
213,18
1190,315
1207,285
298,235
218,699
1073,679
889,398
338,531
334,459
640,293
1245,146
985,240
167,421
772,59
420,306
351,326
217,679
122,21
848,431
262,306
212,206
315,526
922,573
1009,512
1009,169
515,295
836,317
120,513
300,146
185,214
846,223
690,92
877,695
1018,251
1270,119
586,686
606,710
633,91
1043,401
698,357
132,479
380,612
928,446
354,23
650,673
1263,621
1186,649
799,669
267,642
760,694
428,374
836,290
323,273
1001,288
170,151
1069,158
99,500
770,329
708,43
201,713
906,615
370,654
1140,700
449,653
1169,69
103,593
45,126
1081,27
299,376
314,316
29,226
314,391
13,69
1021,88
504,671
579,305
1048,272
756,449
468,289
922,485
1218,505
959,105
122,416
342,671
1071,517
836,676
698,545
315,16
700,331
1183,305
934,522
221,699
1009,276
161,53
453,680
173,274
11,21
162,401
162,136
475,191
685,191
447,618
314,123
52,513
1105,182
436,277
1090,693
360,713
663,423
504,206
571,192
1120,687
135,195
198,346
713,602
141,627
600,327
567,86
219,414
851,21
111,93
933,350
888,121
774,529
133,121
1250,408
594,160
1049,411
827,309
1048,555
120,211
609,18
397,587
326,400
183,208
428,610
1247,350
444,669
1168,59
1276,551
411,454
773,55
462,272
536,285
925,362
34,435
550,95
363,353
481,442
5,83
358,53
57,622
1078,200
685,106
285,91
953,449
474,673
604,477
461,573
1183,403
854,660
947,442
253,581
269,588
1272,428
965,223
975,394
533,145
945,53
605,414
1256,87
301,538
1100,623
1037,667
457,43
1093,280
1092,152
454,203
236,716
102,630
148,712
775,658
1098,598
1022,191
1116,266
228,467
23,181
1105,464
63,472
895,396
716,400
925,644
954,700
422,412
1002,135
509,475
231,539
175,658
245,327
787,611
372,101
986,58
918,200
248,220
433,616
179,633
496,716
17,356
259,17
84,591
904,385
181,236
296,39
126,513
338,366
1231,354
1029,475
1237,265
457,7
477,632
4,331
468,529
789,143
509,0
41,612
49,630
1202,673
1013,358
356,39
450,414
286,35
586,62
212,397
1079,397
876,12
1007,419
244,197
533,360
987,87
276,609
1008,210
222,342
1218,266
792,564
1167,626
85,239
1133,540
439,526
631,74
1071,168
966,428
1252,634
195,388
1217,318
993,95
249,414
1053,341
619,647
197,362
287,433
215,598
202,236
4,582
1056,606
1216,593
0,603
13,707
1025,649
944,580
403,202
1082,390
542,407
759,715
1203,609
774,370
411,148
823,709
1259,448
1012,67
872,364
860,184
652,89
789,595
1070,72
166,37
1104,19
811,276
741,8
263,253
778,415
1242,142
989,708
1097,602
363,315
884,400
134,61
1205,24
531,684
55,649
66,130
1074,43
662,32
801,313
507,114
289,462
34,214
937,213
1124,1
1113,251
476,622
504,630
1031,56
787,137
830,203
1147,47
911,193
1202,23
762,277
1009,363
505,565
925,346
1068,578
825,67
1162,573
179,134
744,580
144,264
453,160
1027,520
357,332
6,352
691,234
712,338
1113,255
588,686
1087,669
736,138
839,257
566,185
1142,303
827,155
1221,131
130,96
1007,616
1010,283
18,513
961,80
168,590
780,210
1135,249
639,344
21,631
28,178
284,602
1023,669
837,532
316,179
237,271
542,340
575,372
279,576
1228,656
834,259
780,464
1026,149
688,658
874,97
778,276
595,680
975,86
688,46
125,697
379,32
1042,679
1249,375
126,579
655,486
793,428
252,82
694,209
1093,240
1116,68
442,448
654,120
664,247
797,515
106,16
952,340
650,400
854,393
968,121
316,347
707,326
200,158
1187,666
128,184
0,57
211,709
357,582
981,455
401,326
197,475
223,295
659,581
88,301
704,122
496,146
983,606
776,54
1140,492
985,345
600,523
925,181
305,407
1122,362
1010,613
60,478
1071,469
1052,122
991,10
6,511
245,406
1131,519
944,215
645,37
74,59
793,224
649,350
951,317
33,562
678,358
1079,578
1006,311
850,313
661,665
779,117
1015,675
554,679
862,556
688,186
78,555
1044,520
224,557
851,66
335,458
497,616
350,599
977,605
663,156
987,322
874,402
468,107
291,209
861,678
1114,195
258,154
975,40
633,278
23,181
173,206
569,72
237,633
868,238
1194,317
580,476
398,499
503,54
565,528
684,96
716,582
1013,105
21,80
872,706
138,606
1214,454
352,483
214,352
752,450
2,272
644,121
738,21
758,645
411,482
402,605
938,545
1194,619
936,536
471,683
850,663
129,440
727,5
329,452
1278,162
833,453
742,681
1114,662
574,642
578,630
1221,59
1065,69
325,268
18,131
1253,348
1076,459
959,627
460,701
141,474
1264,345
569,86
163,369
603,628
506,286
330,39
1136,137
59,131
960,453
1022,258
1093,414
115,543
727,76
1087,1
594,171
676,188
340,661
556,176
685,402
459,283
487,609
156,542
1202,18
420,586
657,78
588,548
24,546
520,57
1059,474
867,335
251,179
1053,250
247,480
78,40
611,384
881,659
376,21
820,54
1044,235
599,636
377,30
101,28
688,592
1061,366
1143,416
1177,334
369,110
805,23
1070,289
732,548
263,554
88,35
305,334
892,474
355,140
353,506
362,229
1110,41
118,661
1069,202
168,710
853,394
557,296
58,699
176,664
774,684
566,350
1171,634
872,650
649,441
341,371
208,415
274,0
338,246
590,161
962,517
449,683
114,133
697,42
926,417
99,408
872,329
568,260
441,368
541,46
1186,514
1001,613
1086,465
210,267
70,410
267,93
350,278
512,598
465,407
311,157
246,357
105,637
1204,352
411,262
415,593
1054,440
1277,599
20,418
411,705
740,162
938,230
808,501
302,358
24,650
1086,478
807,626
574,219
882,398
172,716
772,593
78,373
351,279
964,447
934,203
55,656
720,298
149,49
1214,256
811,403
1195,145
656,392
368,614
1007,353
584,393
1106,208
75,545
838,279
1183,646
342,323
1131,269
524,459
532,461
271,314
952,616
1142,202
264,453
784,668
673,96
1127,478
155,401
86,667
974,322
1264,609
832,24
1227,421
665,0
587,35
535,361
415,496
843,336
495,522
1070,230
790,712
1148,232
152,18
20,475
974,588
520,187
1116,509
363,48
180,457
1137,124
1057,596
1111,564
548,344
430,305
276,516
774,168
493,312
1212,306
239,53
929,171
37,434
1126,526
570,155
105,624
1055,159
1061,111
1222,568
468,3
996,606
780,459
280,350
225,16
758,568
279,627
1153,419
0,103
334,204
96,632
1045,230
581,282
985,665
515,69
708,335
450,151
988,326
1212,457
317,420
571,96
521,705
648,546
370,583
1172,90
823,56
1227,567
1232,147
1192,301
1008,330
982,669
388,689
1139,10
85,82
187,548
881,16
179,121
539,90
469,276
1185,695
365,352
1147,401
1142,312
1113,47
505,373
372,85
399,360
1046,8
906,646
1208,364
347,459
292,498
847,345
1050,438
1108,713
659,665
410,17
338,7
248,540
1194,104
697,215
123,324
43,689
1086,269
613,538
1180,130
1088,613
1129,0
244,30
1043,272
755,570
922,141
695,119
967,49
1229,697
769,0
805,629
611,142
216,283
954,268
464,472
794,587
403,656
327,567
44,394
406,371
1146,164
324,102
1207,302
806,415
168,128
346,28
529,433
597,344
93,521
207,550
1005,690
1120,507
888,322
91,343
284,551
1107,25
536,347
259,311
506,19
179,515
1035,114
552,212
516,48
515,159
448,602
22,589
616,383
131,366
708,476
1199,337
456,109
1025,686
1058,171
789,556
404,639
666,269
1056,330
82,328
415,222
944,615
299,698
895,477
995,242
1168,180
248,18
470,581
913,504
895,425
1056,503
433,621
734,520
287,555
712,513
364,105
1073,218
111,169
274,255
674,630
163,153
1250,405
111,167
67,54
752,37
54,99
527,609
113,443
837,358
531,235
1272,161
304,322
668,501
677,601
1179,73
582,231
1152,663
173,132
732,287
485,397
1142,614
184,331
486,686
1021,448
88,67
902,567
77,563
314,492
112,564
207,130
324,244
43,177
531,316
984,510
1019,369
260,441
10,257
424,114
98,251
241,625
22,158
186,427
225,537
259,321
1101,534
1149,378
967,430
792,441
292,361
524,419
1162,94
1111,276
1129,205
473,633
519,309
781,500
379,423
594,364
99,263
278,628
634,82
669,575
325,326
1056,505
855,289
772,250
640,243
608,466
482,670
178,632
105,661
156,18
592,237
711,341
1133,254
659,126
1230,384
1269,562
933,296
303,676
797,19
35,100
382,673
519,713
